TOTAL_REVENUE,NUMBER_OF_UNITS_SOLD,NUMBER_OF_SALES,CLEAN_ORDER_DATE,MONTH_NAME,DAY_NAME,TIME_BUCKET,PIZZA_CATEGORY,PIZZA_NAME,PIZZA_SIZE
20.75,1.00,1,2015-03-01,Mar,Sun,Afternoon,Chicken,The Thai Chicken Pizza,L
12.00,1.00,1,2015-03-01,Mar,Sun,Evening,Classic,The Big Meat Pizza,S
12.50,1.00,1,2015-03-01,Mar,Sun,Evening,Classic,The Pepperoni Pizza,M
17.95,1.00,1,2015-03-01,Mar,Sun,Evening,Veggie,The Four Cheese Pizza,L
20.75,1.00,1,2015-03-01,Mar,Sun,Evening,Chicken,The California Chicken Pizza,L
12.00,1.00,1,2015-03-01,Mar,Sun,Evening,Veggie,The Vegetables + Vegetables Pizza,S
12.50,1.00,1,2015-03-01,Mar,Sun,Evening,Veggie,The Spinach Pesto Pizza,S
20.75,1.00,1,2015-03-01,Mar,Sun,Evening,Chicken,The Barbecue Chicken Pizza,L
16.75,1.00,1,2015-03-01,Mar,Sun,Evening,Chicken,The Chicken Alfredo Pizza,M
16.25,1.00,1,2015-03-01,Mar,Sun,Late Night,Supreme,The Calabrese Pizza,M
12.75,1.00,1,2015-04-01,Apr,Wed,Afternoon,Chicken,The Barbecue Chicken Pizza,S
16.75,1.00,1,2015-04-01,Apr,Wed,Afternoon,Chicken,The Barbecue Chicken Pizza,M
10.50,1.00,1,2015-04-01,Apr,Wed,Afternoon,Classic,The Hawaiian Pizza,S
20.75,1.00,1,2015-04-01,Apr,Wed,Evening,Chicken,The Thai Chicken Pizza,L
12.50,1.00,1,2015-04-01,Apr,Wed,Evening,Veggie,The Spinach Pesto Pizza,S
12.00,1.00,1,2015-04-01,Apr,Wed,Evening,Veggie,The Spinach and Feta Pizza,S
12.00,1.00,1,2015-04-01,Apr,Wed,Evening,Veggie,The Green Garden Pizza,S
20.50,1.00,1,2015-04-01,Apr,Wed,Evening,Classic,The Classic Deluxe Pizza,L
15.25,1.00,1,2015-04-01,Apr,Wed,Evening,Classic,The Pepperoni Pizza,L
10.50,1.00,1,2015-04-01,Apr,Wed,Evening,Classic,The Hawaiian Pizza,S
16.50,1.00,1,2015-04-01,Apr,Wed,Late Night,Supreme,The Prosciutto and Arugula Pizza,M
16.25,1.00,1,2015-05-01,May,Fri,Afternoon,Supreme,The Sicilian Pizza,M
16.50,1.00,1,2015-05-01,May,Fri,Afternoon,Supreme,The Italian Supreme Pizza,M
16.50,1.00,1,2015-05-01,May,Fri,Afternoon,Supreme,The Soppressata Pizza,M
20.75,1.00,1,2015-05-01,May,Fri,Afternoon,Chicken,The Thai Chicken Pizza,L
14.50,1.00,1,2015-05-01,May,Fri,Evening,Classic,"The Pepperoni, Mushroom, and Peppers Pizza",M
12.25,1.00,1,2015-05-01,May,Fri,Evening,Supreme,The Sicilian Pizza,S
20.75,1.00,1,2015-05-01,May,Fri,Evening,Chicken,The Barbecue Chicken Pizza,L
16.75,1.00,1,2015-05-01,May,Fri,Evening,Chicken,The California Chicken Pizza,M
16.75,1.00,1,2015-05-01,May,Fri,Evening,Chicken,The Thai Chicken Pizza,M
20.50,1.00,1,2015-05-01,May,Fri,Evening,Classic,The Napolitana Pizza,L
16.00,1.00,1,2015-05-01,May,Fri,Evening,Classic,The Napolitana Pizza,M
12.75,1.00,1,2015-06-01,Jun,Mon,Morning,Chicken,The Thai Chicken Pizza,S
12.00,1.00,1,2015-06-01,Jun,Mon,Afternoon,Classic,The Big Meat Pizza,S
12.50,1.00,1,2015-06-01,Jun,Mon,Afternoon,Supreme,The Prosciutto and Arugula Pizza,S
16.00,1.00,1,2015-06-01,Jun,Mon,Afternoon,Classic,The Classic Deluxe Pizza,M
16.50,1.00,1,2015-06-01,Jun,Mon,Afternoon,Supreme,The Spinach Supreme Pizza,M
12.00,1.00,1,2015-06-01,Jun,Mon,Afternoon,Classic,The Classic Deluxe Pizza,S
17.95,1.00,1,2015-03-01,Mar,Sun,Morning,Veggie,The Four Cheese Pizza,L
14.75,1.00,1,2015-03-01,Mar,Sun,Afternoon,Veggie,The Four Cheese Pizza,M
12.00,1.00,1,2015-03-01,Mar,Sun,Evening,Classic,The Napolitana Pizza,S
20.75,1.00,1,2015-03-01,Mar,Sun,Late Night,Chicken,The Barbecue Chicken Pizza,L
12.25,1.00,1,2015-03-01,Mar,Sun,Late Night,Supreme,The Sicilian Pizza,S
20.75,1.00,1,2015-03-01,Mar,Sun,Late Night,Chicken,The Chicken Alfredo Pizza,L
20.75,1.00,1,2015-04-01,Apr,Wed,Evening,Supreme,The Prosciutto and Arugula Pizza,L
20.75,1.00,1,2015-04-01,Apr,Wed,Late Night,Chicken,The Barbecue Chicken Pizza,L
17.50,1.00,1,2015-05-01,May,Fri,Morning,Classic,"The Pepperoni, Mushroom, and Peppers Pizza",L
33.50,2.00,1,2015-05-01,May,Fri,Afternoon,Chicken,The California Chicken Pizza,M
20.50,1.00,1,2015-05-01,May,Fri,Afternoon,Classic,The Classic Deluxe Pizza,L
18.50,1.00,1,2015-05-01,May,Fri,Evening,Veggie,The Five Cheese Pizza,L
16.50,1.00,1,2015-05-01,May,Fri,Evening,Supreme,The Italian Supreme Pizza,M
20.75,1.00,1,2015-05-01,May,Fri,Evening,Supreme,The Pepper Salami Pizza,L
12.00,1.00,1,2015-05-01,May,Fri,Evening,Classic,The Italian Capocollo Pizza,S
16.75,1.00,1,2015-05-01,May,Fri,Evening,Chicken,The California Chicken Pizza,M
12.75,1.00,1,2015-05-01,May,Fri,Evening,Chicken,The California Chicken Pizza,S
12.00,1.00,1,2015-05-01,May,Fri,Evening,Classic,The Classic Deluxe Pizza,S
12.00,1.00,1,2015-06-01,Jun,Mon,Afternoon,Veggie,The Spinach and Feta Pizza,S
20.25,1.00,1,2015-06-01,Jun,Mon,Afternoon,Veggie,The Mexicana Pizza,L
16.50,1.00,1,2015-06-01,Jun,Mon,Afternoon,Supreme,The Italian Supreme Pizza,M
16.75,1.00,1,2015-06-01,Jun,Mon,Afternoon,Chicken,The California Chicken Pizza,M
16.25,1.00,1,2015-05-01,May,Fri,Afternoon,Supreme,The Sicilian Pizza,M
20.75,1.00,1,2015-05-01,May,Fri,Evening,Supreme,The Italian Supreme Pizza,L
15.25,1.00,1,2015-06-01,Jun,Mon,Afternoon,Classic,The Pepperoni Pizza,L
20.25,1.00,1,2015-06-01,Jun,Mon,Afternoon,Supreme,The Sicilian Pizza,L
12.00,1.00,1,2015-06-01,Jun,Mon,Evening,Veggie,The Green Garden Pizza,S
20.25,1.00,1,2015-06-01,Jun,Mon,Evening,Veggie,The Spinach and Feta Pizza,L
20.75,1.00,1,2015-06-01,Jun,Mon,Evening,Chicken,The Thai Chicken Pizza,L
20.50,1.00,1,2015-06-01,Jun,Mon,Evening,Classic,The Italian Capocollo Pizza,L
20.75,1.00,1,2015-06-01,Jun,Mon,Evening,Chicken,The California Chicken Pizza,L
12.00,1.00,1,2015-06-01,Jun,Mon,Evening,Veggie,The Green Garden Pizza,S
12.75,1.00,1,2015-06-01,Jun,Mon,Evening,Chicken,The Southwest Chicken Pizza,S
24.00,2.00,1,2015-06-01,Jun,Mon,Evening,Classic,The Big Meat Pizza,S
20.25,1.00,1,2015-06-01,Jun,Mon,Evening,Veggie,The Mediterranean Pizza,L
17.95,1.00,1,2015-06-01,Jun,Mon,Late Night,Veggie,The Four Cheese Pizza,L
12.00,1.00,1,2015-07-01,Jul,Wed,Morning,Classic,The Big Meat Pizza,S
16.00,1.00,1,2015-07-01,Jul,Wed,Morning,Veggie,The Mexicana Pizza,M
20.25,1.00,1,2015-07-01,Jul,Wed,Afternoon,Veggie,The Vegetables + Vegetables Pizza,L
20.75,1.00,1,2015-07-01,Jul,Wed,Afternoon,Chicken,The Thai Chicken Pizza,L
12.75,1.00,1,2015-07-01,Jul,Wed,Afternoon,Chicken,The Thai Chicken Pizza,S
16.00,1.00,1,2015-07-01,Jul,Wed,Afternoon,Veggie,The Vegetables + Vegetables Pizza,M
12.00,1.00,1,2015-07-01,Jul,Wed,Afternoon,Classic,The Big Meat Pizza,S
18.50,1.00,1,2015-07-01,Jul,Wed,Afternoon,Veggie,The Five Cheese Pizza,L
9.75,1.00,1,2015-07-01,Jul,Wed,Afternoon,Classic,The Pepperoni Pizza,S
16.75,1.00,1,2015-07-01,Jul,Wed,Afternoon,Chicken,The Chicken Alfredo Pizza,M
12.00,1.00,1,2015-07-01,Jul,Wed,Afternoon,Veggie,The Vegetables + Vegetables Pizza,S
20.75,1.00,1,2015-07-01,Jul,Wed,Afternoon,Veggie,The Spinach Pesto Pizza,L
12.00,1.00,1,2015-07-01,Jul,Wed,Afternoon,Classic,The Big Meat Pizza,S
16.50,1.00,1,2015-07-01,Jul,Wed,Afternoon,Classic,The Hawaiian Pizza,L
16.50,1.00,1,2015-07-01,Jul,Wed,Evening,Supreme,The Italian Supreme Pizza,M
12.75,1.00,1,2015-07-01,Jul,Wed,Evening,Chicken,The Barbecue Chicken Pizza,S
12.75,1.00,1,2015-07-01,Jul,Wed,Evening,Veggie,The Italian Vegetables Pizza,S
16.50,1.00,1,2015-07-01,Jul,Wed,Evening,Classic,The Hawaiian Pizza,L
20.25,1.00,1,2015-07-01,Jul,Wed,Evening,Supreme,The Calabrese Pizza,L
16.50,1.00,1,2015-07-01,Jul,Wed,Evening,Supreme,The Soppressata Pizza,M
16.00,1.00,1,2015-08-01,Aug,Sat,Afternoon,Classic,The Classic Deluxe Pizza,M
20.25,1.00,1,2015-08-01,Aug,Sat,Afternoon,Veggie,The Green Garden Pizza,L
10.50,1.00,1,2015-08-01,Aug,Sat,Afternoon,Classic,The Hawaiian Pizza,S
20.75,1.00,1,2015-08-01,Aug,Sat,Afternoon,Chicken,The California Chicken Pizza,L
12.00,1.00,1,2015-08-01,Aug,Sat,Afternoon,Veggie,The Green Garden Pizza,S
21.00,1.00,1,2015-08-01,Aug,Sat,Evening,Veggie,The Italian Vegetables Pizza,L
12.00,1.00,1,2015-08-01,Aug,Sat,Evening,Classic,The Big Meat Pizza,S
12.50,1.00,1,2015-08-01,Aug,Sat,Evening,Classic,The Pepperoni Pizza,M
12.50,1.00,1,2015-08-01,Aug,Sat,Evening,Classic,The Pepperoni Pizza,M
20.25,1.00,1,2015-08-01,Aug,Sat,Evening,Veggie,The Spinach and Feta Pizza,L
16.00,1.00,1,2015-08-01,Aug,Sat,Evening,Classic,The Napolitana Pizza,M
12.00,1.00,1,2015-08-01,Aug,Sat,Evening,Classic,The Napolitana Pizza,S
20.75,1.00,1,2015-08-01,Aug,Sat,Evening,Chicken,The Chicken Pesto Pizza,L
20.25,1.00,1,2015-08-01,Aug,Sat,Evening,Veggie,The Mexicana Pizza,L
12.75,1.00,1,2015-09-01,Sep,Tue,Afternoon,Chicken,The Chicken Pesto Pizza,S
20.75,1.00,1,2015-09-01,Sep,Tue,Afternoon,Supreme,The Spicy Italian Pizza,L
16.00,1.00,1,2015-09-01,Sep,Tue,Afternoon,Veggie,The Mexicana Pizza,M
20.50,1.00,1,2015-09-01,Sep,Tue,Afternoon,Classic,The Classic Deluxe Pizza,L
20.75,1.00,1,2015-09-01,Sep,Tue,Evening,Supreme,The Prosciutto and Arugula Pizza,L
18.50,1.00,1,2015-09-01,Sep,Tue,Evening,Veggie,The Five Cheese Pizza,L
12.00,1.00,1,2015-09-01,Sep,Tue,Evening,Veggie,The Green Garden Pizza,S
16.00,1.00,1,2015-09-01,Sep,Tue,Evening,Veggie,The Spinach and Feta Pizza,M
12.25,1.00,1,2015-09-01,Sep,Tue,Evening,Supreme,The Sicilian Pizza,S
12.00,1.00,1,2015-09-01,Sep,Tue,Late Night,Veggie,The Mediterranean Pizza,S
20.75,1.00,1,2015-10-01,Oct,Thu,Afternoon,Supreme,The Soppressata Pizza,L
20.75,1.00,1,2015-10-01,Oct,Thu,Afternoon,Chicken,The Southwest Chicken Pizza,L
16.75,1.00,1,2015-10-01,Oct,Thu,Afternoon,Chicken,The Southwest Chicken Pizza,M
18.50,1.00,1,2015-10-01,Oct,Thu,Afternoon,Veggie,The Five Cheese Pizza,L
15.25,1.00,1,2015-10-01,Oct,Thu,Afternoon,Classic,The Pepperoni Pizza,L
12.00,1.00,1,2015-10-01,Oct,Thu,Afternoon,Veggie,The Spinach and Feta Pizza,S
20.75,1.00,1,2015-10-01,Oct,Thu,Afternoon,Supreme,The Italian Supreme Pizza,L
12.50,1.00,1,2015-10-01,Oct,Thu,Afternoon,Supreme,The Soppressata Pizza,S
23.65,1.00,1,2015-10-01,Oct,Thu,Afternoon,Supreme,The Brie Carre Pizza,S
16.00,1.00,1,2015-10-01,Oct,Thu,Evening,Veggie,The Mediterranean Pizza,M
12.75,1.00,1,2015-10-01,Oct,Thu,Evening,Chicken,The Southwest Chicken Pizza,S
20.75,1.00,1,2015-10-01,Oct,Thu,Evening,Chicken,The California Chicken Pizza,L
12.00,1.00,1,2015-10-01,Oct,Thu,Evening,Classic,The Big Meat Pizza,S
16.00,1.00,1,2015-10-01,Oct,Thu,Evening,Veggie,The Vegetables + Vegetables Pizza,M
20.75,1.00,1,2015-11-01,Nov,Sun,Morning,Supreme,The Pepper Salami Pizza,L
12.00,1.00,1,2015-11-01,Nov,Sun,Afternoon,Veggie,The Spinach and Feta Pizza,S
16.25,1.00,1,2015-11-01,Nov,Sun,Afternoon,Supreme,The Calabrese Pizza,M
20.75,1.00,1,2015-11-01,Nov,Sun,Afternoon,Chicken,The California Chicken Pizza,L
12.00,1.00,1,2015-11-01,Nov,Sun,Afternoon,Classic,The Big Meat Pizza,S
10.50,1.00,1,2015-11-01,Nov,Sun,Afternoon,Classic,The Hawaiian Pizza,S
12.75,1.00,1,2015-11-01,Nov,Sun,Afternoon,Chicken,The California Chicken Pizza,S
12.75,1.00,1,2015-11-01,Nov,Sun,Evening,Chicken,The Thai Chicken Pizza,S
20.25,1.00,1,2015-11-01,Nov,Sun,Evening,Supreme,The Sicilian Pizza,L
12.75,1.00,1,2015-11-01,Nov,Sun,Evening,Chicken,The Barbecue Chicken Pizza,S
12.50,1.00,1,2015-11-01,Nov,Sun,Evening,Supreme,The Prosciutto and Arugula Pizza,S
16.50,1.00,1,2015-11-01,Nov,Sun,Evening,Supreme,The Italian Supreme Pizza,M
12.00,1.00,1,2015-12-01,Dec,Tue,Afternoon,Classic,The Big Meat Pizza,S
15.25,1.00,1,2015-12-01,Dec,Tue,Afternoon,Classic,The Pepperoni Pizza,L
9.75,1.00,1,2015-12-01,Dec,Tue,Afternoon,Classic,The Pepperoni Pizza,S
12.50,1.00,1,2015-12-01,Dec,Tue,Afternoon,Supreme,The Prosciutto and Arugula Pizza,S
12.25,1.00,1,2015-12-01,Dec,Tue,Afternoon,Supreme,The Sicilian Pizza,S
25.50,1.00,1,2015-12-01,Dec,Tue,Afternoon,Classic,The Greek Pizza,XL
20.75,1.00,1,2015-12-01,Dec,Tue,Evening,Chicken,The Southwest Chicken Pizza,L
20.75,1.00,1,2015-12-01,Dec,Tue,Evening,Chicken,The Barbecue Chicken Pizza,L
12.00,1.00,1,2015-12-01,Dec,Tue,Evening,Classic,The Big Meat Pizza,S
41.50,2.00,1,2015-12-01,Dec,Tue,Evening,Chicken,The Southwest Chicken Pizza,L
25.50,1.00,1,2015-12-01,Dec,Tue,Evening,Classic,The Greek Pizza,XL
16.75,1.00,1,2015-01-13,Jan,Tue,Morning,Chicken,The Thai Chicken Pizza,M
16.75,1.00,1,2015-01-13,Jan,Tue,Afternoon,Chicken,The California Chicken Pizza,M
16.00,1.00,1,2015-01-13,Jan,Tue,Afternoon,Veggie,The Mediterranean Pizza,M
10.50,1.00,1,2015-01-13,Jan,Tue,Afternoon,Classic,The Hawaiian Pizza,S
16.50,1.00,1,2015-01-13,Jan,Tue,Afternoon,Supreme,The Italian Supreme Pizza,M
16.00,1.00,1,2015-01-13,Jan,Tue,Evening,Veggie,The Vegetables + Vegetables Pizza,M
14.75,1.00,1,2015-01-13,Jan,Tue,Evening,Veggie,The Four Cheese Pizza,M
12.75,1.00,1,2015-01-13,Jan,Tue,Evening,Veggie,The Italian Vegetables Pizza,S
20.75,1.00,1,2015-01-13,Jan,Tue,Evening,Chicken,The Southwest Chicken Pizza,L
16.50,1.00,1,2015-01-13,Jan,Tue,Evening,Supreme,The Italian Supreme Pizza,M
20.50,1.00,1,2015-07-01,Jul,Wed,Evening,Classic,The Classic Deluxe Pizza,L
16.75,1.00,1,2015-08-01,Aug,Sat,Afternoon,Chicken,The Chicken Alfredo Pizza,M
15.25,1.00,1,2015-08-01,Aug,Sat,Afternoon,Classic,The Pepperoni Pizza,L
16.50,1.00,1,2015-08-01,Aug,Sat,Afternoon,Supreme,The Spicy Italian Pizza,M
20.25,1.00,1,2015-09-01,Sep,Tue,Afternoon,Veggie,The Vegetables + Vegetables Pizza,L
12.75,1.00,1,2015-09-01,Sep,Tue,Afternoon,Chicken,The Thai Chicken Pizza,S
20.75,1.00,1,2015-09-01,Sep,Tue,Evening,Chicken,The Barbecue Chicken Pizza,L
12.50,1.00,1,2015-10-01,Oct,Thu,Evening,Supreme,The Italian Supreme Pizza,S
18.50,1.00,1,2015-10-01,Oct,Thu,Evening,Veggie,The Five Cheese Pizza,L
20.25,1.00,1,2015-10-01,Oct,Thu,Evening,Veggie,The Mexicana Pizza,L
16.25,1.00,1,2015-10-01,Oct,Thu,Evening,Supreme,The Calabrese Pizza,M
20.50,1.00,1,2015-10-01,Oct,Thu,Late Night,Classic,The Classic Deluxe Pizza,L
12.00,1.00,1,2015-11-01,Nov,Sun,Afternoon,Veggie,The Spinach and Feta Pizza,S
16.50,1.00,1,2015-11-01,Nov,Sun,Evening,Supreme,The Italian Supreme Pizza,M
12.00,1.00,1,2015-11-01,Nov,Sun,Evening,Veggie,The Mediterranean Pizza,S
16.00,1.00,1,2015-11-01,Nov,Sun,Evening,Classic,The Napolitana Pizza,M
14.75,1.00,1,2015-11-01,Nov,Sun,Evening,Veggie,The Four Cheese Pizza,M
12.75,1.00,1,2015-11-01,Nov,Sun,Late Night,Chicken,The Chicken Pesto Pizza,S
12.00,1.00,1,2015-12-01,Dec,Tue,Afternoon,Classic,The Big Meat Pizza,S
10.50,1.00,1,2015-12-01,Dec,Tue,Afternoon,Classic,The Hawaiian Pizza,S
12.75,1.00,1,2015-12-01,Dec,Tue,Evening,Chicken,The California Chicken Pizza,S
16.50,1.00,1,2015-01-13,Jan,Tue,Afternoon,Supreme,The Italian Supreme Pizza,M
18.50,1.00,1,2015-01-13,Jan,Tue,Afternoon,Veggie,The Five Cheese Pizza,L
16.50,1.00,1,2015-01-13,Jan,Tue,Afternoon,Veggie,The Spinach Pesto Pizza,M
23.65,1.00,1,2015-01-13,Jan,Tue,Evening,Supreme,The Brie Carre Pizza,S
14.75,1.00,1,2015-01-13,Jan,Tue,Evening,Veggie,The Four Cheese Pizza,M
41.50,2.00,1,2015-01-14,Jan,Wed,Afternoon,Veggie,The Spinach Pesto Pizza,L
16.00,1.00,1,2015-01-14,Jan,Wed,Afternoon,Classic,The Napolitana Pizza,M
12.75,1.00,1,2015-09-01,Sep,Tue,Afternoon,Chicken,The California Chicken Pizza,S
16.50,1.00,1,2015-01-14,Jan,Wed,Afternoon,Supreme,The Italian Supreme Pizza,M
16.75,1.00,1,2015-01-14,Jan,Wed,Afternoon,Chicken,The Barbecue Chicken Pizza,M
20.75,1.00,1,2015-01-14,Jan,Wed,Afternoon,Chicken,The Barbecue Chicken Pizza,L
41.50,2.00,1,2015-01-14,Jan,Wed,Afternoon,Supreme,The Pepper Salami Pizza,L
12.00,1.00,1,2015-01-14,Jan,Wed,Evening,Classic,The Classic Deluxe Pizza,S
16.75,1.00,1,2015-01-14,Jan,Wed,Evening,Chicken,The Barbecue Chicken Pizza,M
20.75,1.00,1,2015-01-14,Jan,Wed,Evening,Chicken,The Southwest Chicken Pizza,L
16.75,1.00,1,2015-01-14,Jan,Wed,Evening,Chicken,The Barbecue Chicken Pizza,M
20.50,1.00,1,2015-01-14,Jan,Wed,Evening,Classic,The Greek Pizza,L
16.50,1.00,1,2015-01-14,Jan,Wed,Evening,Supreme,The Italian Supreme Pizza,M
20.75,1.00,1,2015-01-14,Jan,Wed,Evening,Chicken,The Chicken Pesto Pizza,L
16.50,1.00,1,2015-01-14,Jan,Wed,Evening,Classic,The Hawaiian Pizza,L
20.75,1.00,1,2015-01-14,Jan,Wed,Evening,Chicken,The Southwest Chicken Pizza,L
16.50,1.00,1,2015-01-14,Jan,Wed,Evening,Supreme,The Italian Supreme Pizza,M
17.95,1.00,1,2015-01-15,Jan,Thu,Afternoon,Veggie,The Four Cheese Pizza,L
16.25,1.00,1,2015-01-15,Jan,Thu,Afternoon,Supreme,The Calabrese Pizza,M
20.75,1.00,1,2015-01-15,Jan,Thu,Afternoon,Supreme,The Prosciutto and Arugula Pizza,L
20.25,1.00,1,2015-01-15,Jan,Thu,Afternoon,Supreme,The Sicilian Pizza,L
10.50,1.00,1,2015-01-15,Jan,Thu,Afternoon,Classic,The Hawaiian Pizza,S
12.50,1.00,1,2015-01-15,Jan,Thu,Afternoon,Classic,The Pepperoni Pizza,M
11.00,1.00,1,2015-01-15,Jan,Thu,Afternoon,Classic,"The Pepperoni, Mushroom, and Peppers Pizza",S
16.00,1.00,1,2015-01-15,Jan,Thu,Evening,Veggie,The Vegetables + Vegetables Pizza,M
20.75,1.00,1,2015-01-15,Jan,Thu,Evening,Chicken,The Thai Chicken Pizza,L
14.75,1.00,1,2015-01-15,Jan,Thu,Evening,Veggie,The Four Cheese Pizza,M
17.95,1.00,1,2015-01-15,Jan,Thu,Evening,Veggie,The Four Cheese Pizza,L
20.75,1.00,1,2015-01-15,Jan,Thu,Evening,Chicken,The California Chicken Pizza,L
25.50,1.00,1,2015-01-15,Jan,Thu,Evening,Classic,The Greek Pizza,XL
20.50,1.00,1,2015-01-15,Jan,Thu,Evening,Classic,The Classic Deluxe Pizza,L
16.75,1.00,1,2015-01-15,Jan,Thu,Evening,Veggie,The Italian Vegetables Pizza,M
12.25,1.00,1,2015-01-15,Jan,Thu,Evening,Supreme,The Sicilian Pizza,S
20.75,1.00,1,2015-01-15,Jan,Thu,Late Night,Chicken,The Thai Chicken Pizza,L
12.50,1.00,1,2015-01-16,Jan,Fri,Morning,Supreme,The Spicy Italian Pizza,S
14.50,1.00,1,2015-01-16,Jan,Fri,Morning,Classic,"The Pepperoni, Mushroom, and Peppers Pizza",M
15.25,1.00,1,2015-01-16,Jan,Fri,Afternoon,Classic,The Pepperoni Pizza,L
16.75,1.00,1,2015-01-16,Jan,Fri,Afternoon,Chicken,The Chicken Alfredo Pizza,M
16.25,1.00,1,2015-01-16,Jan,Fri,Afternoon,Supreme,The Calabrese Pizza,M
18.50,1.00,1,2015-01-16,Jan,Fri,Afternoon,Veggie,The Five Cheese Pizza,L
12.50,1.00,1,2015-01-16,Jan,Fri,Evening,Supreme,The Spicy Italian Pizza,S
16.50,1.00,1,2015-01-16,Jan,Fri,Evening,Supreme,The Pepper Salami Pizza,M
16.00,1.00,1,2015-01-16,Jan,Fri,Evening,Classic,The Classic Deluxe Pizza,M
15.25,1.00,1,2015-01-16,Jan,Fri,Evening,Classic,The Pepperoni Pizza,L
20.25,1.00,1,2015-01-16,Jan,Fri,Evening,Veggie,The Mexicana Pizza,L
12.00,1.00,1,2015-01-16,Jan,Fri,Evening,Veggie,The Spinach and Feta Pizza,S
12.75,1.00,1,2015-01-16,Jan,Fri,Evening,Chicken,The California Chicken Pizza,S
